Dominant_Topic,Perc_Contribution,Topic_Keywords,Page
4.0,0.8806,"world, country, population, war, government, people, state, national, europe, largest",Assyria.txt
2.0,0.4792,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",Time.txt
10.0,0.3039,"made, material, materials, process, water, concrete, high, glass, plastic, wood",insulation.txt
2.0,0.7881,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",Magnetic_ordering.txt
12.0,0.6131,"city, university, state, area, park, national, school, road, cities, urban",University_of_Bolton.txt
1.0,0.4744,"research, management, social, systems, design, development, science, system, information, process",buzzwords.txt
5.0,0.6162,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",biofuels.txt
8.0,0.1518,"data, computer, technology, media, information, company, software, design, system, digital",STEM.txt
9.0,0.483,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",Diamond.txt
11.0,0.4265,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",Gaia_hypothesis.txt
9.0,0.7069,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",Iridium.txt
6.0,0.4603,"university, work, art, american, published, book, time, history, new_york, life",Murray_Bowen.txt
5.0,0.337,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",The_Population_Bomb.txt
3.0,0.4073,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",Popcorn_bag.txt
10.0,0.6802,"made, material, materials, process, water, concrete, high, glass, plastic, wood",cardboard.txt
2.0,0.8779,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",free_electron_model.txt
6.0,0.3952,"university, work, art, american, published, book, time, history, new_york, life",Pantheon.txt
14.0,0.5267,"economic, government, law, public, market, company, international, united_states, state, countries",International_Renewable_Energy_Agency.txt
1.0,0.2856,"research, management, social, systems, design, development, science, system, information, process",C-MORE.txt
10.0,0.4812,"made, material, materials, process, water, concrete, high, glass, plastic, wood",Concrete_moisture_meter.txt
9.0,0.3262,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",lignin.txt
3.0,0.5728,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",Dialysis.txt
13.0,0.4745,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",treadmills.txt
2.0,0.8597,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",Magnetic_susceptibility.txt
12.0,0.4458,"city, university, state, area, park, national, school, road, cities, urban",Landmark_Tower.txt
3.0,0.8873,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",inflammation.txt
1.0,0.451,"research, management, social, systems, design, development, science, system, information, process",John_Sterman.txt
11.0,0.6918,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",peatland.txt
12.0,0.4615,"city, university, state, area, park, national, school, road, cities, urban",Kew_Gardens.txt
11.0,0.4751,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",Marine_pollution.txt
6.0,0.2024,"university, work, art, american, published, book, time, history, new_york, life",International_Society_for_Industrial_Ecology.txt
2.0,0.5217,"energy, light, system, time, temperature, mass, displaystyle, number, state, called",F._J._Duarte.txt
5.0,0.5225,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",Sustainable_seafood.txt
3.0,0.2916,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",Electronic_nose.txt
12.0,0.6091,"city, university, state, area, park, national, school, road, cities, urban",Mayflower_Barn.txt
13.0,0.3898,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",light_bulbs.txt
3.0,0.7361,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",Meiosis.txt
9.0,0.7612,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",Rhodium.txt
3.0,0.8645,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",cancer_treatments.txt
12.0,0.6527,"city, university, state, area, park, national, school, road, cities, urban",Research_park.txt
13.0,0.5037,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",solar_energy.txt
12.0,0.4814,"city, university, state, area, park, national, school, road, cities, urban",Rural.txt
11.0,0.3905,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",biogeochemical_cycling.txt
13.0,0.7501,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",Battery_electric_vehicle.txt
1.0,0.4524,"research, management, social, systems, design, development, science, system, information, process",Hierarchy.txt
0.0,0.2457,"species, plants, plant, animals, food, animal, population, fish, organisms, found",assemblage.txt
6.0,0.4952,"university, work, art, american, published, book, time, history, new_york, life",Joseph_Francis_Shea.txt
14.0,0.3484,"economic, government, law, public, market, company, international, united_states, state, countries",schools_of_economic_thought.txt
8.0,0.6774,"data, computer, technology, media, information, company, software, design, system, digital",Qualcomm.txt
10.0,0.6653,"made, material, materials, process, water, concrete, high, glass, plastic, wood",Expansion_joint.txt
11.0,0.5414,"water, earth, soil, surface, sea, land, ocean, areas, temperature, atmosphere",Aerated_lagoon.txt
3.0,0.5422,"cells, cell, health, human, protein, disease, body, bacteria, found, medical",Sweet.txt
8.0,0.657,"data, computer, technology, media, information, company, software, design, system, digital",Wiki.txt
1.0,0.395,"research, management, social, systems, design, development, science, system, information, process",European_environmental_research_and_innovation_policy.txt
10.0,0.4437,"made, material, materials, process, water, concrete, high, glass, plastic, wood",gold_leaf.txt
9.0,0.7641,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",Iodine.txt
10.0,0.1714,"made, material, materials, process, water, concrete, high, glass, plastic, wood",Rustication.txt
5.0,0.3461,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",climate_engineering.txt
12.0,0.7676,"city, university, state, area, park, national, school, road, cities, urban",Bracknell.txt
13.0,0.3909,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",flash_point.txt
10.0,0.6073,"made, material, materials, process, water, concrete, high, glass, plastic, wood",leather.txt
14.0,0.3645,"economic, government, law, public, market, company, international, united_states, state, countries",Rights_of_Nature.txt
5.0,0.3151,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",Animal_By-Products_Regulations.txt
10.0,0.5179,"made, material, materials, process, water, concrete, high, glass, plastic, wood",rastra.txt
9.0,0.3027,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",Mohs_hardness.txt
8.0,0.4181,"data, computer, technology, media, information, company, software, design, system, digital",Billboard_hacking.txt
10.0,0.7724,"made, material, materials, process, water, concrete, high, glass, plastic, wood",injection_molding.txt
13.0,0.7375,"power, energy, fuel, air, system, gas, high, systems, vehicles, electric",Fuel_cell_vehicle.txt
10.0,0.3676,"made, material, materials, process, water, concrete, high, glass, plastic, wood",white_metal.txt
5.0,0.3575,"environmental, energy, waste, food, production, sustainable, world, environment, development, oil",land_development.txt
1.0,0.7083,"research, management, social, systems, design, development, science, system, information, process",eco-innovation_diffusion.txt
0.0,0.6246,"species, plants, plant, animals, food, animal, population, fish, organisms, found",Tree.txt
9.0,0.5436,"chemical, high, metal, carbon, elements, form, reaction, compounds, process, oxygen",smelters.txt
